"Mayor Council funding","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Independent Budget Analyst","-","-",1,"-","-",-1
"Mayor Council",3529739,3784125,4687174,3672936,3400001,-1287173
"Office of the City Auditor",437705,631460,631461,513402,530402,-101059
