"iddenormalize_budget","org_path","dep","org_clas","fund_cat","funding","previousy_actual","lasty_approved","lasty_amended","thisy_approved","thisy_amended","change_lastthis_amd"
454,"Manager","Utilities","Operations","Enterprise","Solid Waste",51503678,56309006,49807202,1880651,1880651,-47926551
132,"Manager","Convention Culture & Leisure","Operations","Other","Special Distrcts",67387,67387,69758,69758,69758,0
204,"Manager","Finance","Support","Other","Special Distrcts",826214,592284,574320,434193,434193,-140127
259,"Manager","General Services","Support","Other","Special Distrcts",0,0,0,5000,5000,5000
359,"Manager","Parks and Recreation","Operations","Other","Special Distrcts",970547,1131615,1822586,1872586,1872586,50000
418,"Manager","Public Works","Operations","Other","Special Distrcts",807485,913933,959513,1140781,1140781,181268
455,"Manager","Utilities","Operations","Other","Special Distrcts",250837,874965,1012288,1007288,1007288,-5000
85,"/","City Treasurer","Admin","Other","Special Districts - Capital",0,0,0,0,0,0
205,"Manager","Finance","Support","Other","Special Districts - Capital",23295,11735,11735,11735,11735,0
360,"Manager","Parks and Recreation","Operations","Other","Special Recreation",4380154,2859780,2954113,2299075,2324075,-630038
361,"Manager","Parks and Recreation","Operations","Other","START",7871904,5218199,5218198,5218199,5189273,-28925
419,"Manager","Public Works","Operations","Other","State Route 160",143138,0,0,81228,81228,81228
456,"Manager","Utilities","Operations","Other","State Route 160",56447,0,0,0,0,0
260,"Manager","General Services","Support","Other","STATE ROUTE 275",0,0,0,22119,22119,22119
420,"Manager","Public Works","Operations","Other","STATE ROUTE 275",84558,91186,91186,99856,99856,8670
457,"Manager","Utilities","Operations","Other","STATE ROUTE 275",20511,22119,22119,0,0,-22119
133,"Manager","Convention Culture & Leisure","Operations","Enterprise","Storm Drainage",0,0,0,0,0,0
261,"Manager","General Services","Support","Enterprise","Storm Drainage",29105,14329,14329,96590,96590,82261
291,"Manager","Human Resources","Support","Enterprise","Storm Drainage",42853,42802,42802,42802,42802,0
326,"Manager","Information Technology","Support","Enterprise","Storm Drainage",0,127506,127506,127506,127506,0
421,"Manager","Public Works","Operations","Enterprise","Storm Drainage",111000,111000,111000,397721,397721,286721
