"Fire Funding","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"General Fund",95693369,95456876,96323249,91629937,93271752,-3051497
"Risk Mgmt",500000,500000,500000,500000,500000,"-"
