"Community Development funding","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Development Services Fund",-465647,-432000,-432000,-432000,-432000,"-"
"General Fund",19753477,19379814,19369515,19017565,19856374,486859
"Lighting and Landscape",406807,267868,267868,228908,228908,-38960
"N. Natomas Financial Plan","-",20000,20000,20000,20000,"-"
"SHRA CDBG",301145,250000,250000,250000,250000,"-"
