"Finance organization_budget","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Accounting",3135418,3439157,3420473,3294929,3542923,122450
"Budget Office",732469,968936,968936,1011699,987790,18854
"Finance Administration",263147,403046,403045,403443,402539,-506
"Revenue",3686192,2730939,2730939,2815434,2794349,63410
