"City Clerk Budgets","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"City Clerk",1153679,1255288,1255287,1277145,1262390,7103
"Elections",336845,171845,171845,171845,171845,
"Mayor/Council Operations","-","-","-","-",329166,329166
