"City Attorney organization_budget","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"City Attorney",6299496,6341217,6341217,6246220,6371436,30219
"Litigation",83282,100000,100000,100000,100000,"-"
