"Convention Culture & Leisure funding","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Community Center",12920436,14061221,14161223,14285029,14286153,124930
"Culture and Leisure",39177,84000,84000,99000,99000,15000
"Fairytale Town",59674,50000,50000,50000,50000,"-"
"General Fund",5387633,4721257,4712687,4656796,4709223,-3464
"Golf",4919523,5914861,5914861,214443,208411,-5706450
"Marina",1625418,1708290,1735445,2315886,2304069,568624
"Special Distrcts",67387,67387,69758,69758,69758,"-"
"Storm Drainage","-","-","-","-","-","-"
"Zoo",37260,50000,50000,50000,50000,"-"
