"Fire Budgets","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Office of Admin. Services",14346362,14047304,13916276,13176093,13760256,-156020
"Office of Operations",80619089,80380649,81378047,77399532,78484516,-2893531
"Office of the Fire Chief",1227918,1528923,1528926,1554312,1526980,-1946
