"Human Resources budgeted_expenses","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Contingency","-","-",-27620,"-","-",27620
"Employee Services",8928005,7181022,7181020,7344143,7289204,108184
"Labor/Supply Offset",2621665,2591513,2591513,3316175,3316175,724662
"Operating Transfers",53650,"-","-","-","-","-"
"Other Services and Supplies",21707228,17517161,17578394,17350772,17350772,-227622
"Property",14922,48606,48606,48606,48606,"-"
