"General Services budgeted_expenses","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Debt Service",-420730,-422865,-422865,-419144,-419144,3721
"Employee Services",20395003,20120577,20120577,33205130,33359680,13239103
"Labor/Supply Offset",-4809125,-4168634,-4168634,-1093578,-1093578,3075056
"Operating Transfers",468036,"-","-",6811000,6811000,6811000
"Other Services and Supplies",28852108,25213573,25244955,49768606,50038606,24793651
"Property",11751391,13843690,13784686,19798913,19798913,6014227
