"Finance budgeted_expenses","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Employee Services",5953263,6271760,6271760,6424244,6626340,354580
"Labor/Supply Offset",-184474,-1034632,-1034632,-1034632,-1034632,"-"
"Other Services and Supplies",2040378,2287950,2269265,2118893,2118893,-150372
"Property",8060,17000,17000,17000,17000,"-"
