"Convention Culture & Leisure budgeted_expenses","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Debt Service",704469,604468,604468,1239112,1239112,634644
"Employee Services",11563102,13521065,13548217,10249715,10273172,-3275045
"Labor/Supply Offset",1193318,468124,468124,534991,534991,66867
"Operating Transfers",1866405,1674500,1774500,1700500,1700500,-74000
"Other Services and Supplies",9643981,9916044,9912394,7871094,7883338,-2029056
"Property",85233,472815,470271,145500,145500,-324771
