"Information Technology Expenditures","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Employee Services",6569562,6149041,6149042,6071946,6048580,-100462
"Labor/Supply Offset",286,"-","-","-","-","-"
"Other Services and Supplies",1392160,1641545,1641545,866978,866978,-774567
"Property",95112,397123,297123,392213,392213,95090
