"Community Development budgeted_expenses","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Employee Services",17780086,16980188,16980188,16957617,17448426,468238
"Labor/Supply Offset",-628877,-1270361,-1270361,-1206861,-1205361,65000
"Other Services and Supplies",2562515,3687410,3677111,3243272,3589772,-87339
"Property",282058,88445,88445,90445,90445,2000
