"Economic Development budgeted_expenses","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Employee Services",2087868,1669147,1669147,1393234,1391183,-277964
"Labor/Supply Offset",31979,2856,2856,2856,2856,"-"
"Operating Transfers",-496553,"-","-","-","-","-"
"Other Services and Supplies",1757592,1481466,1481466,1481374,1481374,-92
"Property",44493,2000,2000,2000,2000,"-"
