"Finance funding","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Assessment Reg/SDRIS",504000,192286,192286,192286,192286,"-"
"Downtown Management District",8337,8337,7616,7616,7616,"-"
"General Fund",4093670,4223270,4184270,4272209,4474305,290035
"Lighting and Landscape",253779,236759,236759,210639,210639,-26120
"Other",2063966,2237407,2237407,2317827,2317827,80420
"Sacramento Tourism BID",43966,40000,40000,40000,40000,"-"
"Special Distrcts",826214,592284,574320,434193,434193,-140127
"Special Districts - Capital",23295,11735,11735,11735,11735,"-"
"Water Planning","-","-",39000,39000,39000,"-"
