"Economic Development organization_budget","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Administration",-384789,75701,75700,221683,220717,145017
"Citywide Development",2733279,2293930,2293930,2043869,1965281,-328649
"Downtown Development",1076889,785839,785839,613912,691415,-94424
