"City Clerk Budgets","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Employee Services",982561,989435,989434,1042292,1245675,256241
"Labor/Supply Offset",928,3000,3000,3000,4000,1000
"Other Services and Supplies",486727,418698,418698,392698,502727,84029
"Property",20309,16000,16000,11000,11000,-5000
