"Community Development organization_budget","Actuals"," Approved_FY12","Amended_FY12"," Approved_FY13","Amended_FY13","Change Amended"
"Administration",3285457,3240539,3240539,2026147,2053355,-1187184
"Building",3751272,3716619,3716618,4081403,4218458,501840
"Code Enforcement",7873011,7875859,7784757,8099372,8622587,837830
"Customer Service",901199,905957,997060,1025860,997772,712
"Planning",4184843,3746709,3736409,3851691,4031111,294702
